id,geography,totpop,fem18_49,per_fem,medinc,moe_medinc
36061022800,"Census Tract 228, New York County, New York city, New York",5248,1479,28.199999999999996,33910.0,14353.0
36061022900,"Census Tract 229, New York County, New York city, New York",8300,2121,25.6,34898.0,9962.0
36061023000,"Census Tract 230, New York County, New York city, New York",8106,2138,26.400000000000002,35569.0,6368.0
36061023100,"Census Tract 231, New York County, New York city, New York",5865,1592,27.1,45262.0,10533.0
36061023200,"Census Tract 232, New York County, New York city, New York",7980,2235,28.000000000000004,28800.0,3316.0
36061023300,"Census Tract 233, New York County, New York city, New York",6527,1701,26.1,41552.0,8931.0
36061023400,"Census Tract 234, New York County, New York city, New York",4465,1325,29.7,38854.0,13711.0
36061023501,"Census Tract 235.01, New York County, New York city, New York",6004,1518,25.3,34846.0,7530.0
36061023502,"Census Tract 235.02, New York County, New York city, New York",1819,491,27.0,29293.0,5717.0
36061023600,"Census Tract 236, New York County, New York city, New York",6404,1505,23.5,36540.0,3055.0
36061023700,"Census Tract 237, New York County, New York city, New York",6811,1771,26.0,37232.0,8333.0
36061023801,"Census Tract 238.01, New York County, New York city, New York",9723,2441,25.1,86712.0,13592.0
36061023802,"Census Tract 238.02, New York County, New York city, New York",1938,439,22.7,114545.0,18462.0
36061023900,"Census Tract 239, New York County, New York city, New York",2371,565,23.799999999999997,41036.0,12263.0
36061024000,"Census Tract 240, New York County, New York city, New York",1648,95,5.800000000000001,,
36061024100,"Census Tract 241, New York County, New York city, New York",7642,1760,23.0,47957.0,13999.0
36061024200,"Census Tract 242, New York County, New York city, New York",3396,798,23.5,18275.0,3301.0
36061024301,"Census Tract 243.01, New York County, New York city, New York",3946,1030,26.1,38067.0,7134.0
36061024302,"Census Tract 243.02, New York County, New York city, New York",7370,1805,24.5,20371.0,3508.0
36061024500,"Census Tract 245, New York County, New York city, New York",14934,3652,24.5,35394.0,3870.0
36061024700,"Census Tract 247, New York County, New York city, New York",7074,1641,23.200000000000003,40559.0,9763.0
